Trainning ...
Done traning
error = 4.3306731270447427E-4
error = 4.240271628028536E-4
error = 4.153354299364073E-4
error = 4.0697219375969657E-4
error = 3.989191041612477E-4
error = 3.9115922219339267E-4
error = 3.8367688054327144E-4
error = 3.764575606862504E-4
error = 3.694877843597227E-4
error = 3.627550173913523E-4
error = 3.562475842354944E-4
error = 3.4995459183034746E-4
error = 3.4386586159928134E-4
error = 3.379718685927702E-4
error = 3.322636869108092E-4
error = 3.267329406640491E-4
error = 3.2137175983174183E-4
error = 3.161727404584527E-4
error = 3.1112890870239673E-4
error = 3.062336883090454E-4
error = 3.0148087113571946E-4
error = 2.9686459039776576E-4
error = 2.9237929634560387E-4
error = 2.8801973411611434E-4
error = 2.8378092353108133E-4
error = 2.796581406416245E-4
error = 2.756469008398846E-4
error = 2.717429433796748E-4
error = 2.679422171652879E-4
error = 2.642408676830552E-4
error = 2.60635224964476E-4
error = 2.5712179248150383E-4
error = 2.53697236885562E-4
error = 2.503583785114239E-4
error = 2.471021825755703E-4
error = 2.4392575100597858E-4
error = 2.4082631484711903E-4
error = 2.3780122718977645E-4
error = 2.3484795658051654E-4
error = 2.3196408087015078E-4
error = 2.291472814649767E-4
error = 2.2639533794768836E-4
error = 2.2370612303871564E-4
error = 2.2107759787113248E-4
error = 2.1850780755500743E-4
error = 2.1599487700940545E-4
error = 2.1353700704224117E-4
error = 2.1113247065982247E-4
error = 2.0877960958993764E-4
error = 2.0647683100321083E-4
error = 2.0422260441937335E-4
error = 2.0201545878569267E-4
error = 1.9985397971625316E-4
error = 1.9773680688147624E-4
error = 1.9566263153815577E-4
error = 1.936301941912664E-4
error = 1.916382823789644E-4
error = 1.896857285735827E-4
error = 1.8777140819117752E-4
error = 1.8589423770332033E-4
error = 1.8405317284503182E-4
error = 1.8224720691312597E-4
error = 1.8047536914977044E-4
error = 1.7873672320643742E-4
error = 1.7703036568349835E-4
error = 1.7535542474139692E-4
error = 1.7371105877927954E-4
error = 1.7209645517742448E-4
error = 1.7051082909993415E-4
error = 1.689534223544042E-4
error = 1.6742350230560438E-4
error = 1.6592036084013317E-4
error = 1.6444331337945982E-4
error = 1.629916979387644E-4
error = 1.615648742291323E-4
error = 1.6016222280093543E-4
error = 1.5878314422627387E-4
error = 1.5742705831833112E-4
error = 1.5609340338597528E-4
error = 1.5478163552166277E-4
error = 1.5349122792104037E-4
error = 1.5222167023262463E-4
error = 1.509724679361141E-4
error = 1.4974314174783743E-4
error = 1.4853322705211442E-4
error = 1.473422733571135E-4
error = 1.4616984377420155E-4
error = 1.450155145194573E-4
error = 1.4387887443643307E-4
error = 1.4275952453907435E-4
error = 1.4165707757383568E-4
error = 1.405711576001124E-4
error = 1.3950139958811462E-4
error = 1.3844744903339154E-4
error = 1.3740896158713674E-4
error = 1.3638560270168401E-4
error = 1.353770472903672E-4
error = 1.3438297940116572E-4
error = 1.334030919034609E-4
error = 1.324370861873393E-4
error = 1.3148467187481885E-4
error = 1.3054556654256815E-4
error = 1.296194954554697E-4
error = 1.2870619131067162E-4
error = 1.27805393991541E-4
error = 1.2691685033122124E-4
error = 1.2604031388520904E-4
error = 1.2517554471273696E-4
error = 1.243223091663861E-4
error = 1.2348037968976965E-4
error = 1.226495346227612E-4
error = 1.2182955801408621E-4
error = 1.2102023944087195E-4
error = 1.2022137383487825E-4
error = 1.1943276131520687E-4
error = 1.1865420702707397E-4
error = 1.178855209864951E-4
error = 1.1712651793065219E-4
error = 1.1637701717361413E-4
error = 1.1563684246726188E-4
error = 1.1490582186719561E-4
error = 1.141837876034093E-4
error = 1.1347057595552476E-4
error = 1.1276602713243349E-4
error = 1.1206998515616125E-4
error = 1.1138229774975234E-4
error = 1.1070281622906331E-4
error = 1.10031395398278E-4
error = 1.0936789344901231E-4
error = 1.087121718628489E-4
error = 1.0806409531721494E-4
error = 1.0742353159438471E-4
error = 1.0679035149360568E-4
error = 1.0616442874611033E-4
error = 1.055456399329956E-4
error = 1.0493386440578043E-4
error = 1.0432898420962152E-4
error = 1.0373088400902445E-4
error = 1.0313945101597855E-4
error = 1.025545749204392E-4
error = 1.0197614782302155E-4
error = 1.0140406416989805E-4
error = 1.0083822068975943E-4
error = 1.0027851633276583E-4
error = 9.972485221146918E-5
error = 9.917713154356024E-5
error = 9.863525959643405E-5
error = 9.809914363345598E-5
error = 9.756869286196955E-5
error = 9.704381838279939E-5
error = 9.652443314141489E-5
error = 9.601045188052119E-5
error = 9.550179109411581E-5
error = 9.499836898295204E-5
error = 9.450010541131913E-5
error = 9.400692186514907E-5
error = 9.35187414113545E-5
error = 9.303548865838567E-5
error = 9.255708971795209E-5
error = 9.20834721678816E-5
error = 9.16145650160661E-5
error = 9.11502986654445E-5
error = 9.069060488003034E-5
error = 9.023541675190041E-5
error = 8.978466866915139E-5
error = 8.933829628477112E-5
error = 8.889623648637578E-5
error = 8.845842736684548E-5
error = 8.80248081957782E-5
error = 8.75953193917185E-5
error = 8.716990249520852E-5
error = 8.67485001425565E-5
error = 8.633105604036603E-5
error = 8.591751494073625E-5
error = 8.55078226171806E-5
error = 8.510192584117E-5
error = 8.469977235934193E-5
error = 8.430131087132448E-5
error = 8.390649100815271E-5
error = 8.351526331128105E-5
error = 8.31275792121338E-5
error = 8.27433910122401E-5
error = 8.236265186385786E-5
error = 8.198531575113281E-5
error = 8.16113374717541E-5
error = 8.124067261908895E-5
error = 8.08732775647842E-5
error = 8.050910944181112E-5
error = 8.014812612797715E-5
